rain,tmax,tmin,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,SCEC_mean,rain_more_50,maxt_sum2,irrigation,zone,scenario
237,288.34999999999997,276.75,12.9,113.583333,33.45,163.66666666666598,1.57333333333333,1.65666666666667,27.5966666666667,54.27,6.56666666666667,18.1666666666667,1,0.0,irrigated,4,T+10%
364,288.34999999999997,276.65,12.1,105.883333,34.55,134.33333333333297,1.32333333333333,1.66333333333333,24.9033333333333,39.01,7.07,19.0666666666667,0,0.0,irrigated,4,T+5%
251,296.95,287.34999999999997,18.8,131.983333,47.233333,164.66666666666697,1.44333333333333,2.14666666666667,19.9266666666667,56.35,6.98,21.3666666666667,0,0.0,rainfed,1,T0
389,288.04999999999995,278.84999999999997,11.3,115.816667,32.916667,145.66666666666603,1.45333333333333,1.42333333333333,27.6166666666667,44.4733333333333,7.38333333333333,21.3666666666667,1,0.0,irrigated,4,T+10%
181,299.25,285.65,20.8,111.15,40.683333,126.66666666666698,1.32,1.21,19.6566666666667,38.1533333333333,7.3,17.3333333333333,0,0.0,irrigated,2,T-5%
172,287.95,278.15,13.5,116.583333,35.433333,139.33333333333297,1.44333333333333,1.3,24.3133333333333,42.39,7.30333333333333,18.0333333333333,0,1.45,irrigated,4,T0
151,286.75,275.84999999999997,13.6,115.966667,39.483333,131.0,1.46333333333333,1.74333333333333,21.8533333333333,39.1766666666667,7.06666666666667,20.2333333333333,0,0.0,irrigated,3,T+10%
389,288.04999999999995,278.84999999999997,11.3,115.816667,32.916667,145.66666666666603,1.45333333333333,1.42333333333333,27.6166666666667,44.4733333333333,7.38333333333333,21.3666666666667,1,0.0,irrigated,4,T0
222,289.45,282.54999999999995,9.8,105.35,30.116667,129.33333333333297,1.45666666666667,0.883333333333333,22.58,37.9133333333333,6.5,11.8333333333333,0,0.0,rainfed,6,T-5%
366,286.84999999999997,278.15,13.5,119.033333,33.6,141.666666666666,1.38333333333333,1.51666666666667,25.8666666666667,42.9133333333333,7.21,19.6,0,3.35,irrigated,4,T+10%
33,297.75,283.04999999999995,22.4,100.433333,38.933333,135.0,1.30333333333333,1.18333333333333,22.25,40.6966666666667,7.47333333333333,20.6333333333333,0,0.0,irrigated,7,T+10%
143,288.15,277.65,13.8,115.016667,35.7,126.66666666666698,1.49333333333333,1.73333333333333,22.9,36.3566666666667,6.96333333333333,20.3333333333333,0,0.0,irrigated,4,T-10%
29,287.34999999999997,275.54999999999995,14.3,81.65,36.85,135.333333333334,1.32,0.733333333333333,21.4533333333333,41.63,7.78333333333333,14.1,0,0.0,irrigated,9,T+10%
121,287.34999999999997,276.45,12.9,113.816667,36.066667,130.0,1.46333333333333,1.63666666666667,22.5933333333333,37.9966666666667,7.02333333333333,19.3666666666667,0,0.75,irrigated,4,T+10%
202,287.65,276.75,12.2,105.716667,33.75,136.0,1.37333333333333,1.44666666666667,25.0,40.0833333333333,6.62666666666667,18.9333333333333,0,0.0,irrigated,6,T0
190,296.54999999999995,284.15,22.9,109.7,38.233333,131.99999999999997,1.26666666666667,0.933333333333333,21.2,39.9666666666667,7.06666666666667,14.7333333333333,0,0.0,irrigated,2,T-10%
407,288.45,279.15,11.8,113.95,30.9,148.333333333334,1.37333333333333,1.12666666666667,27.2966666666667,45.66,7.11,15.0333333333333,2,0.0,rainfed,5,T+10%
