rain,tmax,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,maxt1,rain1,srad1,maxt2,rain2,srad2,zone,scenario
293,288.04999999999995,12.8,118.35,35.05,131.33333333333297,1.41333333333333,1.10333333333333,21.7266666666667,39.2733333333333,6.66666666666667,12.4668367346939,260.8,2119.8,28.2076923076923,32.6,851.0,4,T+10%
366,286.54999999999995,12.0,108.15,34.7,132.0,1.41666666666667,2.03666666666667,22.0233333333333,39.4533333333333,7.36666666666667,12.0182978723404,230.9,2557.6,26.0657894736842,135.9,779.9,4,T+5%
294,288.34999999999997,13.4,116.333333,34.45,147.66666666666703,1.39333333333333,1.64666666666667,25.1466666666667,46.21,7.54666666666667,12.66,240.4,2239.7,25.9454545454545,53.6,899.5,4,T-10%
225,289.15,12.3,112.966667,34.733333,131.33333333333303,1.48333333333333,1.34333333333333,23.0066666666667,38.4866666666667,6.96,13.315,119.2,1829.1,26.0733333333333,96.4,920.7,4,T+5%
242,288.15,14.5,112.15,37.516667,124.666666666667,1.33333333333333,2.06666666666667,18.4933333333333,37.88,6.95666666666667,12.3214953271028,161.2,2722.8,28.8511111111111,65.1,1033.2,3,T0
234,288.04999999999995,12.6,109.233333,34.4,130.66666666666598,1.31333333333333,0.93,23.0066666666667,38.4966666666667,6.76,13.0939393939394,147.1,2136.4,26.5921568627451,90.3,1093.7,4,T-10%
75,288.04999999999995,12.4,114.516667,37.283333,125.33333333333302,1.50333333333333,2.00333333333333,22.2433333333333,36.09,7.04666666666667,12.521608040201,41.1,2056.8,28.4772727272727,34.0,968.8,4,T-5%
145,289.65,11.6,104.666667,32.95,129.333333333334,1.35333333333333,2.8,21.4166666666667,38.4966666666667,6.36666666666667,13.5209150326797,25.1,1401.5,24.0298245614035,92.9,988.4,6,T0
228,287.95,12.3,105.716667,33.75,136.0,1.37333333333333,1.44666666666667,25.0,40.0833333333333,6.62666666666667,11.9944444444444,120.6,1878.9,26.1765957446808,107.1,938.0,6,T-5%
146,298.65,22.6,107.4,37.783333,100.9999999999997,1.25333333333333,1.23666666666667,11.9733333333333,30.54,7.38666666666667,22.359375,69.5,1396.4,28.4720930232558,61.3,1009.2,7,T-10%
219,287.34999999999997,13.5,117.533333,37.5,130.333333333334,1.42333333333333,1.39,21.65,38.88,7.17666666666667,11.8645631067961,120.0,2436.2,27.1138888888889,98.8,783.6,4,T-10%
144,302.04999999999995,22.9,82.066667,44.9,144.00000000000003,1.27333333333333,0.566666666666667,17.6933333333333,47.49,7.81333333333333,21.5530303030303,66.8,1320.0,30.0175,23.5,958.8,9,T-5%
229,287.84999999999997,12.3,114.033333,33.366667,150.0,1.51666666666667,1.52,31.1033333333333,46.0466666666667,7.26333333333333,12.2349726775956,95.0,1982.5,26.02,137.7,826.7,4,T-10%
